semana,fecha_inicio_semana,sku,descripcion,categoria,tiempo_entrega_semanas,costo_unitario_usd,demanda_cliente_final,pedido_retailer_a_distribuidor,pedido_distribuidor_a_fabrica,pedido_fabrica_a_proveedor,inventario_retailer,inventario_distribuidor,inventario_fabrica
43,2025-10-27,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,662,668,200,270,1982,15079,25934
44,2025-11-03,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,630,649,1463,2313,1966,15893,26784
45,2025-11-10,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,555,571,171,240,2018,15493,26853
46,2025-11-17,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,596,613,1518,2412,1993,16398,27747
47,2025-11-24,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,636,597,179,229,1916,15980,27797
48,2025-12-01,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,683,658,1538,2402,1906,16860,28661
49,2025-12-08,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,685,759,227,362,1933,16328,28796
50,2025-12-15,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,614,607,1504,2133,1929,17225,29425
51,2025-12-22,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,597,588,176,246,1914,16813,29495
52,2025-12-29,SEM-MCU-002,Microcontrolador Wi-Fi / BLE Dual-Core,Microcontroladores,6,6.2,707,652,1545,1961,1900,17706,29911
1,2025-01-06,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,761,803,240,319,1554,2437,8079
2,2025-01-13,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,785,797,1751,2512,1521,3391,8840
3,2025-01-20,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,639,593,177,278,1460,2975,8941
4,2025-01-27,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,802,826,2144,3072,1482,4293,9869
5,2025-02-03,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,750,784,235,341,1481,3744,9975
6,2025-02-10,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,904,964,2479,3930,1506,5259,11426
7,2025-02-17,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,789,823,246,331,1581,4682,11511
8,2025-02-24,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,867,909,2122,2822,1600,5895,12211
9,2025-03-03,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,686,742,222,330,1634,5375,12319
10,2025-03-10,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,840,795,1744,2754,1607,6324,13329
11,2025-03-17,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,733,811,243,377,1639,5756,13463
12,2025-03-24,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,943,872,2031,3114,1613,6915,14546
13,2025-03-31,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,782,849,254,368,1662,6320,14660
14,2025-04-07,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,917,929,2180,2933,1678,7571,15413
15,2025-04-14,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,837,937,281,449,1780,6915,15581
16,2025-04-21,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,836,866,2153,3261,1842,8202,16689
17,2025-04-28,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,790,747,224,354,1825,7679,16819
18,2025-05-05,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,701,673,1719,2604,1780,8725,17704
19,2025-05-12,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,743,783,234,335,1772,8176,17805
20,2025-05-19,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,768,786,1999,2884,1744,9389,18690
21,2025-05-26,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,741,744,223,339,1710,8868,18806
22,2025-06-02,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,921,977,2203,2858,1813,10094,19461
23,2025-06-09,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,817,815,244,342,1823,9523,19559
24,2025-06-16,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,637,678,1631,2296,1892,10476,20224
25,2025-06-23,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,823,899,269,425,1921,9846,20380
26,2025-06-30,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,636,643,1632,2479,1961,10835,21227
27,2025-07-07,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,724,737,221,301,1966,10319,21307
28,2025-07-14,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,688,666,1461,1892,1948,11114,21738
29,2025-07-21,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,582,616,184,241,1935,10682,21795
30,2025-07-28,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,1119,1286,2977,4655,2118,12373,23473
31,2025-08-04,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,1019,1171,2846,3780,2240,14048,24407
32,2025-08-11,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,645,451,1008,1358,2056,14605,24757
33,2025-08-18,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,638,446,133,191,1825,14292,24815
34,2025-08-25,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,603,579,1345,1918,1795,15058,25388
35,2025-09-01,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,589,598,179,266,1809,14639,25475
36,2025-09-08,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,602,659,1696,2156,1841,15676,25935
37,2025-09-15,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,620,636,190,298,1820,15230,26043
38,2025-09-22,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,611,637,1481,2091,1821,16074,26653
39,2025-09-29,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,636,650,195,280,1802,15619,26738
40,2025-10-06,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,624,629,1509,2014,1845,16499,27243
41,2025-10-13,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,573,591,177,273,1898,16085,27339
42,2025-10-20,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,643,633,1401,2187,1921,16853,28125
43,2025-10-27,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,512,537,161,228,1995,16477,28192
44,2025-11-03,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,607,623,1510,2281,2043,17364,28963
45,2025-11-10,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,558,613,183,267,2106,16934,29047
46,2025-11-17,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,586,580,1510,2207,2082,17864,29744
47,2025-11-24,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,644,702,210,268,2183,17372,29802
48,2025-12-01,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,544,519,1330,1699,2138,18183,30171
49,2025-12-08,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,692,652,195,270,2139,17726,30246
50,2025-12-15,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,687,758,1639,2608,2253,18607,31215
51,2025-12-22,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,731,808,242,349,2287,18041,31322
52,2025-12-29,SEM-PMI-010,Regulador LDO 3.3V 1A Low-Noise,Power Management,2,0.85,660,670,1700,2247,2272,19071,31869
1,2025-01-06,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,488,520,156,223,1482,2636,8067
2,2025-01-13,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,562,585,1339,1946,1465,3390,8674
3,2025-01-20,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,535,555,166,228,1444,3001,8736
4,2025-01-27,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,574,591,1422,1877,1450,3832,9191
5,2025-02-03,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,534,564,169,256,1504,3437,9278
6,2025-02-10,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,602,610,1483,2266,1556,4310,10061
7,2025-02-17,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,582,556,166,211,1519,3920,10106
8,2025-02-24,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,584,621,1354,2062,1516,4653,10814
9,2025-03-03,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,557,530,159,207,1443,4282,10862
10,2025-03-10,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,617,596,1457,2284,1460,5143,11689
11,2025-03-17,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,579,627,188,263,1471,4704,11764
12,2025-03-24,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,639,702,1713,2464,1546,5715,12515
13,2025-03-31,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,519,570,171,236,1624,5316,12580
14,2025-04-07,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,594,554,1253,1804,1603,6015,13131
15,2025-04-14,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,600,592,177,229,1559,5600,13183
16,2025-04-21,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,616,674,1606,2424,1593,6532,14001
17,2025-04-28,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,562,552,165,220,1587,6145,14056
18,2025-05-05,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,599,568,1279,1918,1510,6856,14695
19,2025-05-12,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,559,606,181,233,1606,6431,14747
20,2025-05-19,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,606,612,1488,2121,1569,7307,15380
21,2025-05-26,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,541,575,172,258,1647,6904,15466
22,2025-06-02,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,528,548,1323,1985,1643,7679,16128
23,2025-06-09,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,498,548,164,238,1714,7295,16202
24,2025-06-16,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,513,515,1179,1727,1755,7959,16750
25,2025-06-23,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,533,555,166,208,1786,7570,16792
26,2025-06-30,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,626,650,1433,2252,1764,8353,17611
27,2025-07-07,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,516,490,147,213,1696,8010,17677
28,2025-07-14,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,516,518,1290,2034,1733,8782,18421
29,2025-07-21,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,464,444,133,205,1663,8471,18493
30,2025-07-28,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,692,795,2028,2903,1755,9704,19368
31,2025-08-04,SEM-PMI-011,Convertidor Buck DC-DC Synchronous 5V 3A,Power Management,3,1.4,619,711,1773,2343,1853,10766,19938
